,score_1,score_2,score_3
MG41,52.67467091669073,-23.623452583067152,2.4698813401343918
MG42,58.18708626617872,-24.426535842846086,-23.083108461206727
MG44,47.92075829717452,-26.007405965018016,-8.252975935639999
MG45,48.74437953052522,-27.674212858145033,-20.24567184034834
MG46,53.79490261136116,-33.17496520122203,-4.736662021294426
MG48,32.30234083234546,-29.470542514923313,-24.45627229221826
MG49,33.284579809718934,-33.83076306771658,-14.697470186950243
MG4,51.33118421143316,-37.28649265582419,-11.625729988390887
MG50,28.427930293067725,-40.264419084612626,-22.35681584138731
MG51,31.379653657778317,-43.77937144459495,-13.61057578737643
MG52,38.78718098656748,-25.65080035598812,-13.833110803181762
MG53,29.40098904984774,-28.407742298354844,-18.019991772821616
MG55,41.471195542978116,-27.129368500256025,-5.332164610484975
MG56,36.75126124714917,-40.34880969161552,1.1415810589530357
MG57,31.367570662112616,-42.479580880345694,-5.317886831096565
MG58,41.23844824891647,-35.15177145300161,-5.8291076605787815
MG59,42.56862265681856,-33.319841449248074,-25.66570309613578
MG5,46.64291592933766,-29.708081734579523,-19.728724434195147
MG60,24.938541371125282,-43.27118747958055,-20.003440626264727
MG61,24.42028990525062,-42.34669119263749,-13.519629648624989
MG62,39.224795454817276,-34.55535839462126,-14.062027360996737
MG63,35.38766881493335,-37.062703497945265,-9.219246898257111
MG64,42.6577118883922,-39.76636561236321,-15.352293828887365
MG65,40.99122571797583,-39.161606619373565,-15.718370250224163
MG66,23.82004799686743,-29.031124435351554,-16.63481345422067
MG67,33.610912431714894,-32.34136226469215,-35.907364352216646
MG68,37.21077876694865,-35.36442563451606,-11.173778073782449
MG69,36.75718736254858,-33.74420142345959,-3.5684396949499635
MG6,42.28059092607846,-22.61460896457101,-23.78035354898631
MG70,44.644738950538155,-41.03392250415427,-7.14851941024747
MG71,39.32119210623678,-38.2977856061503,-17.55628603306722
MG72,31.69373449278266,-24.743018601429657,-22.305086078128408
MG73,36.35565347844176,-23.401712341428894,-20.822265011786612
MG74,32.64788323140716,-37.81172151603377,-16.43544895921801
MG75,32.573152156026154,-27.771428168216904,-9.417403128053696
MG76,30.867343240567855,-34.90928969989488,-21.026990379826348
MG77,47.790166174357225,-27.870564976283084,-24.323280904266365
MG78,44.95582155302793,-33.4323459195991,-23.774133479407052
MG79,38.752199337704425,-32.454419461064234,-29.40033420390908
MG7,47.77437177644777,-22.44907706580991,-18.157731739289225
MG80,44.820217843095186,-27.898184603835784,-13.870511744540833
MG81,25.956205754001132,-26.988518183381778,-14.925323975882531
MG82,42.10851025251648,-31.274745553830794,-23.706690836032838
MG83,37.11133063096134,-37.775980261359514,-4.054769854926233
MG84,32.42522962080839,-28.244167071306883,-18.218845705356326
MG85,27.01501353288329,-27.849442515540968,-25.260743052825667
MG86,34.953420117007745,-27.885066075916807,-10.606798901998904
MG88,41.468285982601195,-30.083898928853078,-15.867697862803608
MG89,38.60275062513569,-37.58060618021971,-25.97682752525749
MG8,44.524518035026865,-19.42435295849221,-19.238149354171753
MG90,39.935090094033384,-30.639228926464405,-19.438431654963995
MG91,36.87456236356897,-20.283991175547158,-13.051972044606165
MG92,45.47464946504666,-27.59821399110763,-17.089045657181984
MG93,49.02754863876984,-26.42981544392715,-11.916338809782388
MG94,40.749360653960025,-39.434936227350434,-14.627892893104054
MG95,35.556509285984944,-39.00376029287279,-27.44573062901937
MG96,26.31994038067147,-25.71516209355265,-14.601336901996644
MG97,27.05475652352296,-33.465245105613526,-18.697014728519612
MG98,33.71476628274222,-29.46691701897831,-16.569898044875245
MG99,34.71228923532516,-30.949303558704027,-17.4929362394551
MG9,43.90015519204806,-23.37916492894065,-8.561448461597765
