Sample,Genotype,Inoculum,Replicate
MG46_3,MG46,SC,R3
MG48_1,MG48,SC,R1
MG48_2,MG48,SC,R2
MG48_3,MG48,SC,R3
MG49_1,MG49,SC,R1
MG49_2,MG49,SC,R2
MG49_3,MG49,SC,R3
MG4_1,MG4,SC,R1
MG4_2,MG4,SC,R2
MG4_3,MG4,SC,R3
MG50_1,MG50,SC,R1
MG50_2,MG50,SC,R2
MG50_3,MG50,SC,R3
MG51_1,MG51,SC,R1
MG51_2,MG51,SC,R2
MG51_3,MG51,SC,R3
MG52_1,MG52,SC,R1
MG52_2,MG52,SC,R2
MG52_3,MG52,SC,R3
MG53_1,MG53,SC,R1
MG53_2,MG53,SC,R2
MG53_3,MG53,SC,R3
MG55_1,MG55,SC,R1
MG55_2,MG55,SC,R2
MG55_3,MG55,SC,R3
MG56_1,MG56,SC,R1
MG56_2,MG56,SC,R2
MG56_3,MG56,SC,R3
MG57_1,MG57,SC,R1
MG57_2,MG57,SC,R2
MG57_3,MG57,SC,R3
MG58_1,MG58,SC,R1
MG58_2,MG58,SC,R2
MG58_3,MG58,SC,R3
MG59_1,MG59,SC,R1
MG59_2,MG59,SC,R2
MG59_3,MG59,SC,R3
MG5_1,MG5,SC,R1
MG5_2,MG5,SC,R2
MG5_3,MG5,SC,R3
MG60_1,MG60,SC,R1
MG60_2,MG60,SC,R2
MG60_3,MG60,SC,R3
MG61_1,MG61,SC,R1
MG61_2,MG61,SC,R2
MG61_3,MG61,SC,R3
MG62_1,MG62,SC,R1
MG62_2,MG62,SC,R2
MG62_3,MG62,SC,R3
MG63_1,MG63,SC,R1
MG63_2,MG63,SC,R2
MG63_3,MG63,SC,R3
MG64_1,MG64,SC,R1
MG64_2,MG64,SC,R2
MG64_3,MG64,SC,R3
MG65_1,MG65,SC,R1
MG65_2,MG65,SC,R2
MG65_3,MG65,SC,R3
MG66_1,MG66,SC,R1
MG66_2,MG66,SC,R2
MG66_3,MG66,SC,R3
MG67_1,MG67,SC,R1
MG67_2,MG67,SC,R2
MG67_3,MG67,SC,R3
MG68_1,MG68,SC,R1
MG68_2,MG68,SC,R2
MG68_3,MG68,SC,R3
MG69_1,MG69,SC,R1
MG69_2,MG69,SC,R2
MG69_3,MG69,SC,R3
MG6_1,MG6,SC,R1
MG6_2,MG6,SC,R2
MG6_3,MG6,SC,R3
MG70_1,MG70,SC,R1
